	chromosome	db	type	start	stop	strand	gene_type	gene_name
58	1	HAVANA	gene	24285599	24289952	+	protein_coding	PNRC2
60	1	HAVANA	gene	24958207	24999758	+	protein_coding	SRRM1
62	1	HAVANA	gene	25870071	25895377	+	protein_coding	LDLRAP1
64	1	HAVANA	gene	26158414	26185903	-	protein_coding	AUNIP
66	1	HAVANA	gene	26363743	26372624	-	protein_coding	SLC30A2
68	1	HAVANA	gene	28915835	28969597	-	protein_coding	TAF12
70	1	HAVANA	gene	29519385	29557454	-	protein_coding	MECR
72	1	HAVANA	gene	31404353	31538838	-	protein_coding	PUM1
74	1	HAVANA	gene	32095463	32110497	-	protein_coding	PEF1
76	1	HAVANA	gene	32665987	32670988	+	protein_coding	CCDC28B
78	1	HAVANA	gene	32817122	32829913	+	protein_coding	TSSK3
79	1	HAVANA	gene	32826871	32829879	-	protein_coding	FAM229A
82	1	HAVANA	gene	33546705	33586131	+	protein_coding	ADC
84	1	HAVANA	gene	33938246	33962107	+	protein_coding	ZSCAN20
86	1	HAVANA	gene	33979609	34631443	-	protein_coding	CSMD2
88	1	HAVANA	gene	35178338	35325417	-	protein_coding	SMIM12
90	1	HAVANA	gene	36023074	36032875	+	protein_coding	NCDN
92	1	HAVANA	gene	36545667	36547923	-	pseudogene	RP4-665N4.4
94	1	HAVANA	gene	36931644	36948879	-	protein_coding	CSF3R
96	1	HAVANA	gene	37940153	37949980	+	protein_coding	ZC3H12A
98	1	HAVANA	gene	39546988	39952849	+	protein_coding	MACF1
100	1	HAVANA	gene	40157854	40229586	+	protein_coding	PPIE
101	1	HAVANA	gene	40222854	40254533	-	protein_coding	BMP8B
104	1	HAVANA	gene	40505905	40538321	+	protein_coding	CAP1
106	1	HAVANA	gene	41445007	41478235	+	protein_coding	CTPS1
108	1	HAVANA	gene	41944446	41950344	-	protein_coding	EDN2
110	1	HAVANA	gene	43212006	43232755	-	protein_coding	LEPRE1
112	1	HAVANA	gene	44171495	44396831	+	protein_coding	ST3GAL3
113	1	HAVANA	gene	44175063	44193014	-	antisense	RP11-184I16.4
116	1	HAVANA	gene	44501798	44570647	+	lincRNA	RP5-1198O20.4
118	1	HAVANA	gene	45140364	45191263	+	protein_coding	C1orf228
120	1	HAVANA	gene	46049518	46084566	+	protein_coding	NASP
122	1	HAVANA	gene	46859937	46879520	+	protein_coding	FAAH
124	1	HAVANA	gene	47799469	47844511	+	protein_coding	CMPK1
126	1	HAVANA	gene	48688357	48714316	+	protein_coding	SLC5A9
128	1	HAVANA	gene	50905150	51425935	-	protein_coding	FAF1
130	1	HAVANA	gene	51752930	51810788	-	protein_coding	TTC39A
132	1	HAVANA	gene	52254863	52344477	-	protein_coding	NRD1
134	1	HAVANA	gene	52811395	52831865	-	protein_coding	CC2D1B
136	1	HAVANA	gene	53704282	53708455	+	antisense	RP5-1024G6.5
138	1	HAVANA	gene	54497347	54519177	-	protein_coding	TMEM59
140	1	HAVANA	gene	55505221	55530525	+	protein_coding	PCSK9
142	1	HAVANA	gene	57184477	57285369	-	protein_coding	C1orf168
144	1	HAVANA	gene	61330931	61928465	+	protein_coding	NFIA
146	1	HAVANA	gene	62208149	62629592	+	protein_coding	INADL
148	1	HAVANA	gene	62901968	62917475	+	protein_coding	USP1
150	1	HAVANA	gene	63249806	63331184	+	protein_coding	ATG4C
152	1	HAVANA	gene	63906441	64059392	-	protein_coding	ITGB3BP
153	1	HAVANA	gene	63989043	64038364	+	protein_coding	EFCAB7
156	1	HAVANA	gene	64669310	64733051	+	protein_coding	UBE2U
158	1	HAVANA	gene	65298912	65432187	-	protein_coding	JAK1
160	1	HAVANA	gene	67218142	67244470	+	protein_coding	TCTEX1D1
162	1	HAVANA	gene	67557848	67697536	-	protein_coding	C1orf141
163	1	HAVANA	gene	67632083	67725662	+	protein_coding	IL23R
166	1	HAVANA	gene	68167149	68299150	-	protein_coding	GNG12
168	1	HAVANA	gene	68297986	68668670	+	antisense	GNG12-AS1
170	1	HAVANA	gene	68894505	68915642	-	protein_coding	RPE65
172	1	HAVANA	gene	70610488	70671303	-	protein_coding	LRRC40
174	1	HAVANA	gene	71547007	71955652	+	processed_transcript	ZRANB2-AS2
176	1	HAVANA	gene	71861623	72748417	-	protein_coding	NEGR1
178	1	HAVANA	gene	74491699	74663871	-	protein_coding	LRRIQ3
180	1	HAVANA	gene	75198836	75232362	+	protein_coding	TYW3
182	1	HAVANA	gene	75667816	76076801	-	protein_coding	SLC44A5
184	1	HAVANA	gene	76262567	76378923	+	protein_coding	MSH4
186	1	HAVANA	gene	78445226	78604133	+	protein_coding	GIPC2
188	1	HAVANA	gene	84330711	84464833	-	protein_coding	TTLL7
190	1	HAVANA	gene	85742398	85913807	+	antisense	RP11-131L23.1
192	1	HAVANA	gene	86814344	86862023	-	protein_coding	ODF2L
194	1	HAVANA	gene	87380331	87602334	+	protein_coding	HS2ST1
195	1	HAVANA	gene	87458692	87634884	+	protein_coding	RP5-1052I5.2
198	1	HAVANA	gene	89149905	89301938	+	protein_coding	PKN2
200	1	HAVANA	gene	90098699	90398809	+	protein_coding	RP11-302M6.4
202	1	HAVANA	gene	92414928	92479983	+	protein_coding	BRDT
204	1	HAVANA	gene	92764522	92867613	+	protein_coding	RPAP2
206	1	HAVANA	gene	93297582	93307481	+	protein_coding	RPL5
208	1	HAVANA	gene	93615299	93646285	-	protein_coding	TMED5
210	1	HAVANA	gene	94027347	94312706	-	protein_coding	BCAR3
211	1	HAVANA	gene	94057756	94071130	+	antisense	RP5-1033H22.2
214	1	HAVANA	gene	94883933	94984222	+	protein_coding	ABCD3
216	1	HAVANA	gene	95285898	95360802	+	protein_coding	SLC44A3
217	1	HAVANA	gene	95302304	95320982	-	processed_transcript	RP11-465K1.2
220	1	HAVANA	gene	100174259	100232187	-	protein_coding	FRRS1
222	1	HAVANA	gene	101361632	101447309	+	protein_coding	SLC30A7
224	1	HAVANA	gene	104068313	104097861	+	protein_coding	RNPC3
225	1	HAVANA	gene	107682629	108026080	+	protein_coding	NTNG1
227	1	HAVANA	gene	108113782	108507766	-	protein_coding	VAV3
229	1	HAVANA	gene	108918421	109013624	+	protein_coding	NBPF6
231	1	HAVANA	gene	109234945	109244425	+	protein_coding	PRPF38B
233	1	HAVANA	gene	109358520	109506106	-	protein_coding	AKNAD1
234	1	HAVANA	gene	109472130	109506111	-	protein_coding	CLCC1
237	1	HAVANA	gene	110574199	110617263	+	protein_coding	STRIP1
239	1	HAVANA	gene	111659955	111682838	-	protein_coding	DRAM2
241	1	HAVANA	gene	111991486	112005395	+	protein_coding	ATP5F1
243	1	HAVANA	gene	112313284	112531777	-	protein_coding	KCND3
245	1	HAVANA	gene	113215763	113243368	+	protein_coding	MOV10
246	1	HAVANA	gene	113236310	113239243	-	antisense	RP11-426L16.3
249	1	HAVANA	gene	113615831	113674882	+	protein_coding	LRIG2
251	1	HAVANA	gene	114304454	114355098	-	protein_coding	RSBN1
253	1	HAVANA	gene	117057157	117113661	-	protein_coding	CD58
255	1	HAVANA	gene	117568104	117602112	-	antisense	RP11-27K13.3
257	1	HAVANA	gene	117910071	118071494	+	protein_coding	MAN1A2
259	1	HAVANA	gene	118496484	118727846	-	protein_coding	SPAG17
261	1	HAVANA	gene	120454176	120612240	-	protein_coding	NOTCH2
262	1	HAVANA	gene	121102017	121140666	-	lincRNA	RP11-343N15.1
263	1	HAVANA	gene	145289772	145370303	+	protein_coding	NBPF10
264	1	HAVANA	gene	145764411	145827103	-	protein_coding	GPR89A
265	1	HAVANA	gene	146490895	146596107	-	pseudogene	NBPF13P
266	1	HAVANA	gene	147801124	147816764	+	lincRNA	RP11-495P10.3
267	1	HAVANA	gene	151009046	151020076	+	protein_coding	BNIPL
269	1	HAVANA	gene	151252500	151254405	-	protein_coding	RP11-126K1.2
271	1	HAVANA	gene	151846060	151882284	-	protein_coding	THEM4
273	1	HAVANA	gene	151967007	152015250	+	antisense	NBPF18P
274	1	HAVANA	gene	152004982	152020383	-	protein_coding	S100A11
277	1	HAVANA	gene	152850793	152857523	+	protein_coding	SMCP
279	1	HAVANA	gene	153606525	153618782	+	protein_coding	CHTOP
281	1	HAVANA	gene	153767649	153774567	+	pseudogene	RP11-216N14.5
283	1	HAVANA	gene	154127784	154167124	-	protein_coding	TPM3
285	1	HAVANA	gene	155165379	155178842	-	protein_coding	THBS3
286	1	HAVANA	gene	155166659	155175286	+	antisense	RP11-263K19.4
289	1	HAVANA	gene	156904632	157015162	-	protein_coding	ARHGEF11
290	1	HAVANA	gene	157090983	157108266	-	protein_coding	ETV3
291	1	HAVANA	gene	157483167	157522310	-	protein_coding	FCRL5
293	1	HAVANA	gene	158444244	158464676	-	antisense	RP11-144L1.4
295	1	HAVANA	gene	159032274	159116886	-	protein_coding	AIM2
297	1	HAVANA	gene	160051360	160060353	+	protein_coding	KCNJ9
299	1	HAVANA	gene	160370376	160398468	+	protein_coding	VANGL2
301	1	HAVANA	gene	160577890	160617085	-	protein_coding	SLAMF1
303	1	HAVANA	gene	161129240	161135513	+	protein_coding	USP21
305	1	HAVANA	gene	162760492	162782607	+	protein_coding	HSD17B7
307	1	HAVANA	gene	163236366	163325554	+	protein_coding	NUF2
309	1	HAVANA	gene	165567700	165592568	+	lincRNA	RP11-306I1.2
311	1	HAVANA	gene	167190066	167396582	+	protein_coding	POU2F1
313	1	HAVANA	gene	167690429	167761156	+	protein_coding	MPZL1
315	1	HAVANA	gene	169483404	169555826	-	protein_coding	F5
317	1	HAVANA	gene	169818772	169863408	-	protein_coding	SCYL3
319	1	HAVANA	gene	170904612	171033906	+	protein_coding	MROH9
321	1	HAVANA	gene	171810621	172387606	+	protein_coding	DNM3
323	1	HAVANA	gene	172389828	172437971	+	protein_coding	C1orf105
325	1	HAVANA	gene	173837220	173872687	+	protein_coding	ZBTB37
327	1	HAVANA	gene	174128548	174964445	+	protein_coding	RABGAP1L
329	1	HAVANA	gene	174968300	174980851	+	protein_coding	CACYBP
331	1	HAVANA	gene	176432307	176814735	+	protein_coding	PAPPA2
333	1	HAVANA	gene	176826438	177134109	-	protein_coding	ASTN1
335	1	HAVANA	gene	177893091	177953438	-	protein_coding	SEC16B
336	1	HAVANA	gene	177897923	178007142	-	processed_transcript	RP4-798P15.3
339	1	HAVANA	gene	178062864	178448644	+	protein_coding	RASAL2
341	1	HAVANA	gene	179050512	179067158	+	protein_coding	TOR3A
343	1	HAVANA	gene	179809102	179846938	-	protein_coding	TOR1AIP2
345	1	HAVANA	gene	180199421	180249380	+	protein_coding	LHX4
347	1	HAVANA	gene	180244515	180472089	-	protein_coding	ACBD6
349	1	HAVANA	gene	180601140	180859387	+	protein_coding	XPR1
351	1	HAVANA	gene	181382238	181777219	+	protein_coding	CACNA1E
353	1	HAVANA	gene	182808504	182856886	+	protein_coding	DHX9
355	1	HAVANA	gene	183155373	183214035	+	protein_coding	LAMC2
357	1	HAVANA	gene	183605220	183897665	+	protein_coding	RGL1
359	1	HAVANA	gene	185126212	185260897	+	protein_coding	SWT1
361	1	HAVANA	gene	186344890	186390510	+	protein_coding	C1orf27
363	1	HAVANA	gene	190066792	190446759	-	protein_coding	BRINP3
364	1	HAVANA	gene	191844625	191980390	+	lincRNA	RP11-541F9.2
366	1	HAVANA	gene	193091147	193223031	+	protein_coding	CDC73
368	1	HAVANA	gene	196621008	196716634	+	protein_coding	CFH
370	1	HAVANA	gene	197122810	197169672	-	protein_coding	ZBTB41
372	1	HAVANA	gene	197170592	197447585	+	protein_coding	CRB1
374	1	HAVANA	gene	197881037	197904608	+	protein_coding	LHX9
376	1	HAVANA	gene	198607801	198726545	+	protein_coding	PTPRC
378	1	HAVANA	gene	200520628	200589862	-	protein_coding	KIF14
380	1	HAVANA	gene	201083081	201096312	-	protein_coding	ASCL5
382	1	HAVANA	gene	203764782	203823252	+	protein_coding	ZC3H11A
384	1	HAVANA	gene	204391756	204463852	-	protein_coding	PIK3C2B
386	1	HAVANA	gene	206136916	206155151	+	protein_coding	FAM72A
387	1	HAVANA	gene	206516200	206637783	+	protein_coding	SRGAP2
388	1	HAVANA	gene	209959036	209979465	-	protein_coding	IRF6
390	1	HAVANA	gene	210501596	210849638	+	protein_coding	HHAT
392	1	HAVANA	gene	211431719	211489727	+	protein_coding	RCOR3
394	1	HAVANA	gene	211849104	211863445	+	antisense	RP11-122M14.1
396	1	HAVANA	gene	212208919	212280742	+	protein_coding	DTL
398	1	HAVANA	gene	212606229	212619714	+	protein_coding	NENF
400	1	HAVANA	gene	213224589	213448116	+	protein_coding	RPS6KC1
402	1	HAVANA	gene	214776538	214837931	+	protein_coding	CENPF
404	1	HAVANA	gene	215796236	216596738	-	protein_coding	USH2A
406	1	HAVANA	gene	216676588	217311097	-	protein_coding	ESRRG
408	1	HAVANA	gene	219858769	220131989	-	protein_coding	SLC30A10
410	1	HAVANA	gene	220960101	220987735	+	protein_coding	MARC1
412	1	HAVANA	gene	222885895	222908538	+	protein_coding	BROX
414	1	HAVANA	gene	223282748	223316624	-	protein_coding	TLR5
415	1	HAVANA	gene	223889295	223963720	+	protein_coding	CAPN2
416	1	HAVANA	gene	224572845	224624735	-	protein_coding	WDR26
418	1	HAVANA	gene	225589204	225616627	-	protein_coding	LBR
420	1	HAVANA	gene	226249552	226259702	+	protein_coding	H3F3A
422	1	HAVANA	gene	226548392	226595780	-	protein_coding	PARP1
424	1	HAVANA	gene	229406822	229441641	+	protein_coding	RAB4A
426	1	HAVANA	gene	229652329	229694442	-	protein_coding	ABCB10
428	1	HAVANA	gene	231376953	231413719	+	protein_coding	GNPAT
430	1	HAVANA	gene	231664399	231954990	+	protein_coding	TSNAX-DISC1
431	1	HAVANA	gene	231762561	232177018	+	protein_coding	DISC1
434	1	HAVANA	gene	233119181	233431459	-	protein_coding	PCNXL2
436	1	HAVANA	gene	234040679	234460262	+	protein_coding	SLC35F3
438	1	HAVANA	gene	234492752	234501574	+	antisense	RP5-827C21.2
440	1	HAVANA	gene	235613238	235667781	-	protein_coding	B3GALNT2
441	1	HAVANA	gene	236139130	236228462	-	protein_coding	NID1
443	1	HAVANA	gene	236712305	236767804	-	protein_coding	HEATR1
445	1	HAVANA	gene	237205505	237997288	+	protein_coding	RYR2
447	1	HAVANA	gene	241695434	241758944	+	protein_coding	KMO
449	1	HAVANA	gene	242011269	242058450	+	protein_coding	EXO1
451	1	HAVANA	gene	242246288	242687998	-	protein_coding	PLD5
453	1	HAVANA	gene	243242159	243265035	-	lincRNA	RP11-261C10.3
454	1	HAVANA	gene	244571796	244615436	-	protein_coding	ADSS
456	1	HAVANA	gene	245133007	245290466	+	protein_coding	EFCAB2
458	1	HAVANA	gene	246935139	246993361	-	pseudogene	RP11-439E19.8
460	2	HAVANA	gene	1792885	2335032	-	protein_coding	MYT1L
462	2	HAVANA	gene	6980701	7006766	-	protein_coding	CMPK2
464	2	HAVANA	gene	8865408	8977760	-	protein_coding	KIDINS220
465	2	HAVANA	gene	8992820	9143942	-	protein_coding	MBOAT2
466	2	HAVANA	gene	9543604	9563676	-	protein_coding	ITGB1BP1
467	2	HAVANA	gene	9563697	9613230	+	protein_coding	CPSF3
468	2	HAVANA	gene	10196907	10221071	-	protein_coding	CYS1
470	2	HAVANA	gene	11239977	11272947	-	lincRNA	AC062028.1
471	2	HAVANA	gene	11242268	11243123	+	pseudogene	RP11-345J13.1
474	2	HAVANA	gene	11798304	11810290	-	protein_coding	NTSR2
476	2	HAVANA	gene	16909391	16948822	+	lincRNA	AC008069.1
477	2	HAVANA	gene	17845079	17981509	-	protein_coding	SMC6
479	2	HAVANA	gene	18059114	18542882	+	protein_coding	KCNS3
480	2	HAVANA	gene	20096404	20101747	-	protein_coding	TTC32
482	2	HAVANA	gene	22156208	22753977	-	lincRNA	AC068490.2
484	2	HAVANA	gene	23971534	24149984	-	protein_coding	ATAD2B
486	2	HAVANA	gene	25455845	25565459	-	protein_coding	DNMT3A
487	2	HAVANA	gene	26680071	26781566	-	protein_coding	OTOF
488	2	HAVANA	gene	26785450	26802400	+	protein_coding	C2orf70
489	2	HAVANA	gene	27265232	27293490	+	protein_coding	AGBL5
491	2	HAVANA	gene	27579113	27590489	+	antisense	AC074117.10
492	2	HAVANA	gene	27604061	27632554	-	protein_coding	PPM1G
493	2	HAVANA	gene	27886338	27917840	+	protein_coding	SLC4A1AP
495	2	HAVANA	gene	28680012	28866654	+	protein_coding	PLB1
497	2	HAVANA	gene	29005383	29073477	+	protein_coding	SPDYA
498	2	HAVANA	gene	29117509	29171088	+	protein_coding	WDR43
499	2	HAVANA	gene	30273932	30366670	-	antisense	AC016907.3
501	2	HAVANA	gene	35024917	35410755	+	lincRNA	AC012593.1
503	2	HAVANA	gene	36923833	37041935	+	protein_coding	VIT
505	2	HAVANA	gene	37195526	37311485	-	protein_coding	HEATR5B
507	2	HAVANA	gene	38978676	39012142	+	protein_coding	GEMIN6
508	2	HAVANA	gene	39024871	39103075	-	protein_coding	DHX57
509	2	HAVANA	gene	40013593	40482349	+	antisense	SLC8A1-AS1
511	2	HAVANA	gene	42560686	42652228	-	protein_coding	COX7A2L
513	2	HAVANA	gene	45181803	45195901	+	lincRNA	AC012354.6
515	2	HAVANA	gene	45615819	45839304	-	protein_coding	SRBD1
517	2	HAVANA	gene	45878484	46415129	+	protein_coding	PRKCE
519	2	HAVANA	gene	47129009	47168994	-	protein_coding	MCFD2
520	2	HAVANA	gene	47143296	47303276	+	protein_coding	TTC7A
523	2	HAVANA	gene	47922669	48037240	+	protein_coding	MSH6
524	2	HAVANA	gene	48016455	48132932	-	protein_coding	FBXO11
527	2	HAVANA	gene	48757064	49003654	+	protein_coding	STON1-GTF2A1L
528	2	HAVANA	gene	50145643	51259674	-	protein_coding	NRXN1
530	2	HAVANA	gene	51259739	52635055	+	lincRNA	AC007682.1
532	2	HAVANA	gene	53759810	54087170	-	protein_coding	GPR75-ASB3
533	2	HAVANA	gene	53897430	54087297	-	protein_coding	ASB3
536	2	HAVANA	gene	55861400	55921045	-	protein_coding	PNPT1
538	2	HAVANA	gene	61244360	61279125	+	protein_coding	PEX13
540	2	HAVANA	gene	62051989	62081278	-	protein_coding	FAM161A
541	2	HAVANA	gene	62095224	62115939	-	protein_coding	CCT4
542	2	HAVANA	gene	62095567	62113217	+	antisense	AC107081.5
543	2	HAVANA	gene	62900986	63273622	+	protein_coding	EHBP1
544	2	HAVANA	gene	63348518	64054977	-	protein_coding	WDPCP
545	2	ENSEMBL	gene	63745026	63746647	-	pseudogene	AC016734.1
547	2	HAVANA	gene	63815743	63834331	+	protein_coding	MDH1
548	2	HAVANA	gene	64068074	64118696	+	protein_coding	UGP2
549	2	HAVANA	gene	64119280	64246206	-	protein_coding	VPS54
550	2	HAVANA	gene	64751465	64820139	+	protein_coding	AFTPH
551	2	HAVANA	gene	64858755	64978139	-	protein_coding	SERTAD2
552	2	HAVANA	gene	65663845	66311773	+	lincRNA	AC074391.1
553	2	HAVANA	gene	65816700	65867311	-	lincRNA	AC007389.3
556	2	HAVANA	gene	68268262	68338080	-	protein_coding	C1D
557	2	HAVANA	gene	69546905	69614382	-	protein_coding	GFPT1
558	2	HAVANA	gene	70056774	70108528	+	protein_coding	GMCL1
560	2	HAVANA	gene	70484518	70508323	+	protein_coding	PCYOX1
562	2	HAVANA	gene	71221573	71229884	+	antisense	AC007040.6
563	2	HAVANA	gene	71229661	71291873	-	antisense	AC007040.8
564	2	HAVANA	gene	73460548	73480149	+	protein_coding	CCT7
566	2	HAVANA	gene	73612886	73837920	+	protein_coding	ALMS1
567	2	HAVANA	gene	74652963	74669549	-	protein_coding	RTKN
568	2	HAVANA	gene	74785010	74875465	-	protein_coding	M1AP
569	2	HAVANA	gene	76974845	77820445	-	protein_coding	LRRTM4
570	2	HAVANA	gene	79412357	80875905	+	protein_coding	CTNNA2
572	2	HAVANA	gene	85545147	85555548	-	protein_coding	TGOLN2
573	2	HAVANA	gene	85581517	85618875	+	protein_coding	ELMOD3
574	2	HAVANA	gene	85825671	85830319	-	protein_coding	TMEM150A
576	2	HAVANA	gene	86371055	86422893	-	protein_coding	IMMT
577	2	HAVANA	gene	86426478	86440917	+	protein_coding	MRPL35
578	2	HAVANA	gene	87098424	87149816	+	pseudogene	ANAPC1P1
579	2	HAVANA	gene	87135076	87241104	+	protein_coding	RGPD1
580	2	HAVANA	gene	88991162	89050452	+	protein_coding	RPIA
581	2	HAVANA	gene	89065324	89106126	+	pseudogene	ANKRD36BP2
582	2	HAVANA	gene	96514587	96657541	-	protein_coding	ANKRD36C
584	2	HAVANA	gene	97779233	97930258	+	protein_coding	ANKRD36
586	2	HAVANA	gene	98272431	98280570	-	protein_coding	ACTR1B
587	2	HAVANA	gene	99061317	99210853	+	protein_coding	INPP4A
588	2	HAVANA	gene	99225042	99234978	+	protein_coding	UNC50
589	2	HAVANA	gene	99613724	99771427	-	protein_coding	TSGA10
590	2	HAVANA	gene	99953816	100017789	+	protein_coding	EIF5B
591	2	HAVANA	gene	101008327	101034118	-	protein_coding	CHST10
592	2	HAVANA	gene	101436614	101613291	+	protein_coding	NPAS2
593	2	HAVANA	gene	101589110	101593623	-	antisense	AC016738.3
594	2	HAVANA	gene	101618177	101640494	+	protein_coding	RPL31
595	2	HAVANA	gene	101869264	101886778	+	protein_coding	CNOT11
596	2	HAVANA	gene	103353367	103460352	+	protein_coding	TMEM182
598	2	HAVANA	gene	104490768	104694236	+	lincRNA	RP11-76I14.1
600	2	HAVANA	gene	105950484	105953932	-	lincRNA	RP11-332H14.2
601	2	HAVANA	gene	108443388	108507297	+	protein_coding	RGPD4
602	2	HAVANA	gene	108784204	108834297	-	antisense	AC019100.3
603	2	HAVANA	gene	108938694	108970255	+	pseudogene	SULT1C2P1
604	2	HAVANA	gene	109335937	109402267	+	protein_coding	RANBP2
605	2	HAVANA	gene	112523848	112642267	-	protein_coding	ANAPC1
606	2	HAVANA	gene	115199876	116603328	+	protein_coding	DPP10
608	2	HAVANA	gene	118673054	118771709	-	protein_coding	CCDC93
609	2	HAVANA	gene	118752973	118770295	+	antisense	AC009303.1
612	2	HAVANA	gene	120059801	120124404	-	protein_coding	C2orf76
613	2	HAVANA	gene	120197419	120282070	-	protein_coding	SCTR
614	2	HAVANA	gene	120932461	120974120	-	antisense	AC012363.4
615	2	HAVANA	gene	121076583	121083874	+	lincRNA	AC012363.13
616	2	HAVANA	gene	121839013	121846302	-	lincRNA	AC067960.1
618	2	HAVANA	gene	122095352	122407163	-	protein_coding	CLASP1
620	2	HAVANA	gene	122494679	122525429	+	protein_coding	TSN
622	2	HAVANA	gene	124782864	125672864	+	protein_coding	CNTNAP5
624	2	HAVANA	gene	126468546	126523419	+	lincRNA	AC097499.1
625	2	HAVANA	gene	134877554	135212192	+	protein_coding	MGAT5
627	2	HAVANA	gene	135675805	135716912	+	protein_coding	CCNT2
628	2	HAVANA	gene	135722061	135805038	-	protein_coding	MAP3K19
629	2	HAVANA	gene	136545410	136594750	-	protein_coding	LCT
630	2	HAVANA	gene	136597196	136633996	-	protein_coding	MCM6
631	2	HAVANA	gene	148602086	148688393	+	protein_coding	ACVR2A
633	2	HAVANA	gene	150443710	150704747	+	antisense	AC144449.1
634	2	HAVANA	gene	152266397	152364527	+	protein_coding	RIF1
635	2	HAVANA	gene	152341850	152591001	-	protein_coding	NEB
636	2	HAVANA	gene	152689290	152955593	-	protein_coding	CACNB4
638	2	HAVANA	gene	153508107	153574511	-	protein_coding	PRPF40A
640	2	HAVANA	gene	154728426	155310361	+	protein_coding	GALNT13
642	2	HAVANA	gene	158114110	158170723	+	protein_coding	GALNT5
644	2	HAVANA	gene	158733214	158992666	+	protein_coding	UPP2
646	2	HAVANA	gene	159651829	159719293	+	protein_coding	DAPL1
647	2	HAVANA	gene	159731154	159732182	+	pseudogene	OR7E90P
648	2	HAVANA	gene	160788519	160919121	-	protein_coding	PLA2R1
650	2	HAVANA	gene	161952742	162016735	-	antisense	AC009313.1
651	2	HAVANA	gene	161993419	162092732	+	protein_coding	TANK
652	2	HAVANA	gene	162079296	162111179	-	antisense	AC009299.2
653	2	HAVANA	gene	163123589	163175213	-	protein_coding	IFIH1
655	2	HAVANA	gene	165349322	165478358	-	protein_coding	GRB14
656	2	HAVANA	gene	165510134	165700189	-	protein_coding	COBLL1
657	2	HAVANA	gene	168810530	169104651	-	protein_coding	STK39
659	2	HAVANA	gene	169779448	169887832	-	protein_coding	ABCB11
661	2	HAVANA	gene	172378757	172414643	+	protein_coding	CYBRD1
663	2	HAVANA	gene	172967734	172974710	+	lincRNA	AC104801.1
664	2	HAVANA	gene	173600002	173917621	+	protein_coding	RAPGEF4
666	2	HAVANA	gene	175260458	175294303	+	protein_coding	SCRN3
667	2	HAVANA	gene	175664091	175870097	-	protein_coding	CHN1
668	2	HAVANA	gene	176968944	176974722	+	protein_coding	HOXD11
670	2	HAVANA	gene	177855236	178029244	-	lincRNA	AC079305.11
672	2	HAVANA	gene	178487980	178973066	-	protein_coding	PDE11A
674	2	HAVANA	gene	179328391	179343327	-	protein_coding	FKBP7
676	2	HAVANA	gene	180306709	180726232	-	protein_coding	ZNF385B
677	2	HAVANA	gene	181831975	181941312	+	protein_coding	UBE2E3
679	2	HAVANA	gene	183004763	183387919	-	protein_coding	PDE1A
680	2	HAVANA	gene	186603355	186698017	+	protein_coding	FSIP2
682	2	HAVANA	gene	187350883	187374090	+	protein_coding	ZC3H15
683	2	HAVANA	gene	187867947	188419390	+	antisense	AC007319.1
