gene	snp	evidence	group	TAD_ID	chromosome	TAD_Start	TAD_End	TAD_UCSC	go_id	go_name	pval	adjP
ADAMTS3	rs10009409	tad	prostate_cancer	857	chr4	72581136	73941136	chr4:72581136-73941136	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
ANKRD17	rs10009409	tad	prostate_cancer	857	chr4	72581136	73941136	chr4:72581136-73941136	GO:0032103	positive regulation of response to external stimulus	0.000103061315629871	0.0413620196800897
AFM	rs1894292	gwas	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136				
AFP	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
ALB	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
ANKRD17	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0032103	positive regulation of response to external stimulus	0.000103061315629871	0.0413620196800897
CXCL1	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
CXCL2	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
CXCL3	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
CXCL5	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
CXCL6	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
PF4	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
PF4V1	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
PPBP	rs1894292	tad	prostate_cancer	858	chr4	73941136	75021136	chr4:73941136-75021136	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
PDLIM5	rs12500426	gwas	prostate_cancer	882	chr4	95220977	95540977	chr4:95220977-95540977				
PDLIM5	rs17021918	gwas	prostate_cancer	882	chr4	95220977	95540977	chr4:95220977-95540977				
PDLIM5	rs12500426	gwas	prostate_cancer	883	chr4	95540977	96060977	chr4:95540977-96060977				
PDLIM5	rs17021918	gwas	prostate_cancer	883	chr4	95540977	96060977	chr4:95540977-96060977				
BMPR1B	rs17021918|rs12500426	tad	prostate_cancer	883	chr4	95540977	96060977	chr4:95540977-96060977	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
TERT	rs2242652	gwas_tad	prostate_cancer	983	chr5	10000	1347000	chr5:10000-1347000	GO:1901099	negative regulation of signal transduction in absence of ligand	8.905057279751108e-05	0.0382451007647977
SLC6A19	rs2242652	tad	prostate_cancer	983	chr5	10000	1347000	chr5:10000-1347000	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
IRX4	rs12653946	gwas	prostate_cancer	985	chr5	1667000	3587000	chr5:1667000-3587000				
NDUFS6	rs12653946	tad	prostate_cancer	985	chr5	1667000	3587000	chr5:1667000-3587000	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
FGF10	rs2121875	gwas_tad	prostate_cancer	1023	chr5	43564243	44804243	chr5:43564243-44804243	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
BOD1	rs6869841	gwas	prostate_cancer	1152	chr5	172707394	173747394	chr5:172707394-173747394				
CPEB4	rs6869841	tad	prostate_cancer	1152	chr5	172707394	173747394	chr5:172707394-173747394	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
STC2	rs6869841	tad	prostate_cancer	1152	chr5	172707394	173747394	chr5:172707394-173747394	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
NEDD9	rs4713266	gwas	prostate_cancer	1176	chr6	10892014	11532014	chr6:10892014-11532014				
CCHCR1	rs130067	gwas	prostate_cancer	1197	chr6	30412021	31372021	chr6:30412021-31372021				
HLA-E	rs130067	tad	prostate_cancer	1197	chr6	30412021	31372021	chr6:30412021-31372021	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
MICA	rs130067	tad	prostate_cancer	1197	chr6	30412021	31372021	chr6:30412021-31372021	GO:0019882	antigen processing and presentation	5.89952059071308e-06	0.0133019440519103
NOTCH4	rs3096702	gwas	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022				
AGER	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0050921	positive regulation of chemotaxis	5.56268394962256e-05	0.0358356046726042
AIF1	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
C2	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
EHMT2	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
GPSM3	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002690	positive regulation of leukocyte chemotaxis	1.57417103148205e-05	0.0250465120923871
HLA-DMB	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DOB	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DQA1	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DQA2	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DQB1	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DQB2	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DRA	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DRB1	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HLA-DRB5	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
HSPA1A	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:1901099	negative regulation of signal transduction in absence of ligand	8.905057279751108e-05	0.0382451007647977
LTA	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
PSMB8	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
PSMB9	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
TAP1	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
TAP2	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
TNF	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0002687	positive regulation of leukocyte migration	8.7666758988636e-05	0.0382451007647977
TNXB	rs3096702	tad	prostate_cancer	1198	chr6	31492021	32932022	chr6:31492021-32932022	GO:0044259	multicellular organismal macromolecule metabolic process	0.000152836401294043	0.0463415329936099
FOXP4	rs1983891	gwas	prostate_cancer	1209	chr6	41052022	41692022	chr6:41052022-41692022				
MDFI	rs1983891	tad	prostate_cancer	1209	chr6	41052022	41692022	chr6:41052022-41692022	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
TFEB	rs1983891	tad	prostate_cancer	1209	chr6	41052022	41692022	chr6:41052022-41692022	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
TREM2	rs1983891	tad	prostate_cancer	1209	chr6	41052022	41692022	chr6:41052022-41692022	GO:0048002	antigen processing and presentation of peptide antigen	5.64732743679741e-07	0.00254666230762379
ARMC2	rs2273669	gwas	prostate_cancer	1262	chr6	108853307	109413307	chr6:108853307-109413307				
FOXO3	rs2273669	tad	prostate_cancer	1262	chr6	108853307	109413307	chr6:108853307-109413307	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
RFX6	rs339331	gwas	prostate_cancer	1272	chr6	117053307	117613307	chr6:117053307-117613307				
RGS17	rs1933488	gwas	prostate_cancer	1315	chr6	153318307	154478308	chr6:153318307-154478308				
OPRM1	rs1933488	tad	prostate_cancer	1315	chr6	153318307	154478308	chr6:153318307-154478308	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
SLC22A1	rs651164	gwas	prostate_cancer	1323	chr6	160120010	161120010	chr6:160120010-161120010				
SLC22A3	rs9364554	gwas_tad	prostate_cancer	1323	chr6	160120010	161120010	chr6:160120010-161120010	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
MAS1	rs651164|rs9364554	tad	prostate_cancer	1323	chr6	160120010	161120010	chr6:160120010-161120010	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
SP8	rs12155172	gwas	prostate_cancer	1351	chr7	20713475	21313475	chr7:20713475-21313475				
ABCB5	rs12155172	tad	prostate_cancer	1351	chr7	20713475	21313475	chr7:20713475-21313475	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
TAX1BP1	rs10486567	gwas	prostate_cancer	1360	chr7	27233475	28153475	chr7:27233475-28153475				
TNS3	rs56232506	gwas	prostate_cancer	1388	chr7	47273475	47913475	chr7:47273475-47913475				
LMTK2	rs6465657	gwas	prostate_cancer	1431	chr7	96722064	97882064	chr7:96722064-97882064				
ASNS	rs6465657	tad	prostate_cancer	1431	chr7	96722064	97882064	chr7:96722064-97882064	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
BHLHA15	rs6465657	tad	prostate_cancer	1431	chr7	96722064	97882064	chr7:96722064-97882064	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
TAC1	rs6465657	tad	prostate_cancer	1431	chr7	96722064	97882064	chr7:96722064-97882064	GO:0032103	positive regulation of response to external stimulus	0.000103061315629871	0.0413620196800897
NKX3-1	rs1512268	gwas_tad	prostate_cancer	1513	chr8	23304055	23584055	chr8:23304055-23584055	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
EBF2	rs11135910	gwas	prostate_cancer	1517	chr8	25344083	26304083	chr8:25344083-26304083				
POU5F1B	rs1016343	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs1456315	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs16901979	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs188140481	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs6983267	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs1447295	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs4242382	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
POU5F1B	rs7837688	gwas	prostate_cancer	1617	chr8	127850818	130770818	chr8:127850818-130770818				
RP11-145E5.5	rs17694493	gwas	prostate_cancer	1661	chr9	21810000	22250000	chr9:21810000-22250000				
CDKN2B	rs17694493	tad	prostate_cancer	1661	chr9	21810000	22250000	chr9:21810000-22250000	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
RAD23B	rs817826	gwas	prostate_cancer	1738	chr9	110080179	111640179	chr9:110080179-111640179				
MARCH8	rs76934034	gwas	prostate_cancer	1832	chr10	45479994	46239994	chr10:45479994-46239994				
MSMB	rs3123078	gwas	prostate_cancer	1835	chr10	51489994	51849994	chr10:51489994-51849994				
MSMB	rs10993994	gwas	prostate_cancer	1835	chr10	51489994	51849994	chr10:51489994-51849994				
NCOA4	rs3123078|rs10993994	tad	prostate_cancer	1835	chr10	51489994	51849994	chr10:51489994-51849994	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
TRIM8	rs3850699	gwas	prostate_cancer	1889	chr10	104410010	105250010	chr10:104410010-105250010				
ZRANB1	rs4962416	gwas	prostate_cancer	1911	chr10	126650010	127530010	chr10:126650010-127530010				
MYEOV	rs11228565	gwas	prostate_cancer	1996	chr11	68843424	69490819	chr11:68843424-69490819				
MYEOV	rs7931342	gwas	prostate_cancer	1996	chr11	68843424	69490819	chr11:68843424-69490819				
MYEOV	rs10896449	gwas	prostate_cancer	1996	chr11	68843424	69490819	chr11:68843424-69490819				
MYEOV	rs7130881	gwas	prostate_cancer	1996	chr11	68843424	69490819	chr11:68843424-69490819				
CCND1	rs7130881|rs11228565|rs10896449|rs7931342	tad	prostate_cancer	1996	chr11	68843424	69490819	chr11:68843424-69490819	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
TPCN2	rs7130881|rs11228565|rs10896449|rs7931342	tad	prostate_cancer	1996	chr11	68843424	69490819	chr11:68843424-69490819	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
MMP7	rs11568818	gwas_tad	prostate_cancer	2034	chr11	101894790	102574790	chr11:101894790-102574790	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
BIRC2	rs11568818	tad	prostate_cancer	2034	chr11	101894790	102574790	chr11:101894790-102574790	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
MMP20	rs11568818	tad	prostate_cancer	2034	chr11	101894790	102574790	chr11:101894790-102574790	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
MMP27	rs11568818	tad	prostate_cancer	2034	chr11	101894790	102574790	chr11:101894790-102574790	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
YAP1	rs11568818	tad	prostate_cancer	2034	chr11	101894790	102574790	chr11:101894790-102574790	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
HTR3B	rs11214775	gwas	prostate_cancer	2045	chr11	113654790	114134790	chr11:113654790-114134790				
RP1-228P16.5	rs80130819	gwas	prostate_cancer	2126	chr12	48233733	49233733	chr12:48233733-49233733				
COL2A1	rs80130819	tad	prostate_cancer	2126	chr12	48233733	49233733	chr12:48233733-49233733	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
VDR	rs80130819	tad	prostate_cancer	2126	chr12	48233733	49233733	chr12:48233733-49233733	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
TUBA1C	rs10875943	gwas	prostate_cancer	2127	chr12	49473733	50033733	chr12:49473733-50033733				
DHH	rs10875943	tad	prostate_cancer	2127	chr12	49473733	50033733	chr12:49473733-50033733	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
TBX5	rs1270884	gwas	prostate_cancer	2194	chr12	114395617	114955617	chr12:114395617-114955617				
KLF5	rs9600079	gwas	prostate_cancer	2260	chr13	73301999	74301999	chr13:73301999-74301999				
FERMT2	rs8008270	gwas	prostate_cancer	2329	chr14	52770250	53810250	chr14:52770250-53810250				
PSMC6	rs8008270	tad	prostate_cancer	2329	chr14	52770250	53810250	chr14:52770250-53810250	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
SIX1	rs7153648	gwas_tad	prostate_cancer	2338	chr14	61050247	61770247	chr14:61050247-61770247	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
SIX4	rs7153648	tad	prostate_cancer	2338	chr14	61050247	61770247	chr14:61050247-61770247	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
RAD51B	rs7141529	gwas	prostate_cancer	2345	chr14	68290247	69330247	chr14:68290247-69330247				
ZFP36L1	rs7141529	tad	prostate_cancer	2345	chr14	68290247	69330247	chr14:68290247-69330247	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
TTC9	rs8014671	gwas	prostate_cancer	2347	chr14	69970247	71290247	chr14:69970247-71290247				
PHLPP2	rs12051443	gwas	prostate_cancer	2542	chr16	71682499	72082499	chr16:71682499-72082499				
AP1G1	rs12051443	tad	prostate_cancer	2542	chr16	71682499	72082499	chr16:71682499-72082499	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
DHODH	rs12051443	tad	prostate_cancer	2542	chr16	71682499	72082499	chr16:71682499-72082499	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
HNF1B	rs4430796	gwas_tad	prostate_cancer	2598	chr17	34805887	36295000	chr17:34805887-36295000	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
HNF1B	rs7501939	gwas_tad	prostate_cancer	2598	chr17	34805887	36295000	chr17:34805887-36295000	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
ACACA	rs4430796|rs7501939	tad	prostate_cancer	2598	chr17	34805887	36295000	chr17:34805887-36295000	GO:0044259	multicellular organismal macromolecule metabolic process	0.000152836401294043	0.0463415329936099
LHX1	rs4430796|rs7501939	tad	prostate_cancer	2598	chr17	34805887	36295000	chr17:34805887-36295000	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
ZNF652	rs11650494	gwas	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001				
ZNF652	rs7210100	gwas	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001				
COL1A1	rs11650494|rs7210100	tad	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
DLX3	rs11650494|rs7210100	tad	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
GIP	rs11650494|rs7210100	tad	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
PDK2	rs11650494|rs7210100	tad	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
PHB	rs11650494|rs7210100	tad	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001	GO:0002922	positive regulation of humoral immune response	0.000108241008191179	0.0413620196800897
PPP1R9B	rs11650494|rs7210100	tad	prostate_cancer	2607	chr17	46965001	48445001	chr17:46965001-48445001	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
AC007461.1	rs1859962	gwas	prostate_cancer	2626	chr17	68648405	70528405	chr17:68648405-70528405				
SOX9	rs1859962	tad	prostate_cancer	2626	chr17	68648405	70528405	chr17:68648405-70528405	GO:0060602	branch elongation of an epithelium	4.21291227645781e-05	0.0313470097665871
SALL3	rs7241993	gwas	prostate_cancer	2716	chr18	75431012	77139012	chr18:75431012-77139012				
SPINT2	rs8102476	gwas_tad	prostate_cancer	2764	chr19	38388160	38868160	chr19:38388160-38868160	GO:0061458	reproductive system development	0.00012071618280406999	0.0418745866426889
PSMD8	rs8102476	tad	prostate_cancer	2764	chr19	38388160	38868160	chr19:38388160-38868160	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4.812130587339422e-07	0.00254666230762379
KLK2	rs2735839	gwas	prostate_cancer	2791	chr19	51308188	51588188	chr19:51308188-51588188				
KLK5	rs2735839	tad	prostate_cancer	2791	chr19	51308188	51588188	chr19:51308188-51588188	GO:0032103	positive regulation of response to external stimulus	0.000103061315629871	0.0413620196800897
KLK6	rs2735839	tad	prostate_cancer	2791	chr19	51308188	51588188	chr19:51308188-51588188	GO:0030574	collagen catabolic process	1.66624983428676e-05	0.0250465120923871
KLK7	rs2735839	tad	prostate_cancer	2791	chr19	51308188	51588188	chr19:51308188-51588188	GO:0032103	positive regulation of response to external stimulus	0.000103061315629871	0.0413620196800897
LILRA3	rs103294	gwas	prostate_cancer	2796	chr19	54668188	55588188	chr19:54668188-55588188				
LIME1	rs6062509	gwas	prostate_cancer	2863	chr20	62169556	62889556	chr20:62169556-62889556				
GNB1L	rs2238776	gwas	prostate_cancer	2900	chr22	18860000	20100000	chr22:18860000-20100000				
COMT	rs2238776	tad	prostate_cancer	2900	chr22	18860000	20100000	chr22:18860000-20100000	GO:0009991	response to extracellular stimulus	3.15562941608505e-05	0.0274958147877621
