gene	evidence	TAD ID	chromosome	TAD Start	TAD End	UCSC
KLHL42	gwas	2110	chr12	27868733	29188733	chr12:27868733-29188733
PTHLH	gwas	2110	chr12	27868733	29188733	chr12:27868733-29188733
ADCY5	gwas_tad	710	chr3	122437310	123317310	chr3:122437310-123317310
ARL15	gwas	1026	chr5	52404243	53804243	chr5:52404243-53804243
TCF7L2	gwas_tad	1897	chr10	114210010	115410010	chr10:114210010-115410010
FBXW7	tad	942	chr4	153340550	153700550	chr4:153340550-153700550
MPHOSPH9	gwas	2202	chr12	123314047	123754047	chr12:123314047-123754047
HIP1R	tad	2202	chr12	123314047	123754047	chr12:123314047-123754047
HIGD1C	gwas	2130	chr12	51153733	51793733	chr12:51153733-51793733
ADAMTS9-AS2	gwas	659	chr3	64544960	65304960	chr3:64544960-65304960
PPIF	tad	1863	chr10	79809994	81289994	chr10:79809994-81289994
ZMIZ1	gwas	1863	chr10	79809994	81289994	chr10:79809994-81289994
RPSAP52	gwas	2146	chr12	65153733	66513733	chr12:65153733-66513733
UBE2E2	gwas	607	chr3	23024996	24024996	chr3:23024996-24024996
IL20RA	tad	1295	chr6	136598307	137998307	chr6:136598307-137998307
RPL35AP3	gwas	1295	chr6	136598307	137998307	chr6:136598307-137998307
BCLAF1	tad	1295	chr6	136598307	137998307	chr6:136598307-137998307
SLC35D3	gwas	1295	chr6	136598307	137998307	chr6:136598307-137998307
CDKN2B-AS1	gwas	1661	chr9	21810000	22250000	chr9:21810000-22250000
UBA52P6	gwas	1661	chr9	21810000	22250000	chr9:21810000-22250000
PROX1-AS1	gwas	300	chr1	213253377	214373377	chr1:213253377-214373377
DGKB	gwas	1343	chr7	14753475	16113475	chr7:14753475-16113475
KCNK16	gwas	1206	chr6	38812022	39292022	chr6:38812022-39292022
KCNK17	gwas	1206	chr6	38812022	39292022	chr6:38812022-39292022
GLP1R	tad	1206	chr6	38812022	39292022	chr6:38812022-39292022
MIR5702	gwas	562	chr2	226531756	227971756	chr2:226531756-227971756
IRS1	tad	562	chr2	226531756	227971756	chr2:226531756-227971756
MC4R	gwas_tad	2699	chr18	57569020	58249020	chr18:57569020-58249020
RPS3AP49	gwas	2699	chr18	57569020	58249020	chr18:57569020-58249020
PMAIP1	tad	2699	chr18	57569020	58249020	chr18:57569020-58249020
KCNQ1	gwas	1919	chr11	2443424	2923424	chr11:2443424-2923424
KCNQ1OT1	gwas	1919	chr11	2443424	2923424	chr11:2443424-2923424
PRELID1P1	gwas	1282	chr6	126318307	127518307	chr6:126318307-127518307
DCD	gwas	2135	chr12	54873733	55393733	chr12:54873733-55393733
VDAC1P5	gwas	2135	chr12	54873733	55393733	chr12:54873733-55393733
TSPAN8	gwas	2152	chr12	70033733	72153733	chr12:70033733-72153733
LGR5	gwas	2152	chr12	70033733	72153733	chr12:70033733-72153733
HHEX	gwas	1877	chr10	94410020	95290010	chr10:94410020-95290010
EXOC6	gwas	1877	chr10	94410020	95290010	chr10:94410020-95290010
BCAP31	tad	3059	chrX	152786806	153426806	chrX:152786806-153426806
DUSP9	gwas	3059	chrX	152786806	153426806	chrX:152786806-153426806
KRT18P48	gwas	3059	chrX	152786806	153426806	chrX:152786806-153426806
MAEA	gwas	794	chr4	10000	1670202	chr4:10000-1670202
CPLX1	tad	794	chr4	10000	1670202	chr4:10000-1670202
LPP-AS2	gwas	782	chr3	187517306	188957306	chr3:187517306-188957306
RNA5SP94	gwas	405	chr2	57786496	60906496	chr2:57786496-60906496
MIR4432	gwas	405	chr2	57786496	60906496	chr2:57786496-60906496
SLC30A8	gwas_tad	1604	chr8	115850824	118330819	chr8:115850824-118330819
CTSH	tad	2445	chr15	79212945	80692945	chr15:79212945-80692945
ZFAND6	gwas	2445	chr15	79212945	80692945	chr15:79212945-80692945
FAH	gwas	2445	chr15	79212945	80692945	chr15:79212945-80692945
RNF6	gwas	2217	chr13	26742000	27502000	chr13:26742000-27502000
PTEN	tad	1871	chr10	89570020	90370020	chr10:89570020-90370020
MED6P1	gwas	1871	chr10	89570020	90370020	chr10:89570020-90370020
PSMD6	gwas	658	chr3	63984960	64544960	chr3:63984960-64544960
PRICKLE2-AS1	gwas	658	chr3	63984960	64544960	chr3:63984960-64544960
RFX3	tad	1637	chr9	2850000	4370000	chr9:2850000-4370000
GLIS3	gwas	1637	chr9	2850000	4370000	chr9:2850000-4370000
HMG20A	gwas	2442	chr15	77292945	78172945	chr15:77292945-78172945
NPM1P47	gwas	2421	chr15	61412708	62612708	chr15:61412708-62612708
C2CD4B	gwas	2421	chr15	61412708	62612708	chr15:61412708-62612708
IGF2BP2	gwas	777	chr3	185357306	185637306	chr3:185357306-185637306
ZFAND3	gwas	1205	chr6	37332022	38732022	chr6:37332022-38732022
DGKB	gwas	1342	chr7	13313475	14753475	chr7:13313475-14753475
TP53INP1	gwas_tad	1582	chr8	95570824	96290824	chr8:95570824-96290824
CCNE2	gwas	1582	chr8	95570824	96290824	chr8:95570824-96290824
SERINC3	tad	2838	chr20	42846586	43926586	chr20:42846586-43926586
R3HDML	gwas	2838	chr20	42846586	43926586	chr20:42846586-43926586
STK4	tad	2838	chr20	42846586	43926586	chr20:42846586-43926586
YWHAB	tad	2838	chr20	42846586	43926586	chr20:42846586-43926586
FITM2	gwas	2838	chr20	42846586	43926586	chr20:42846586-43926586
HNF4A	gwas_tad	2838	chr20	42846586	43926586	chr20:42846586-43926586
ANK1	gwas	1532	chr8	41480843	42240843	chr8:41480843-42240843
NOTCH2	gwas	190	chr1	118518477	120558477	chr1:118518477-120558477
ST6GAL1	gwas	780	chr3	186557306	186877306	chr3:186557306-186877306
CDC123	gwas	1805	chr10	12239994	13399994	chr10:12239994-13399994
CAMK1D	gwas	1805	chr10	12239994	13399994	chr10:12239994-13399994
