gene	evidence	TAD ID	chromosome	TAD Start	TAD End	UCSC
MALAT1	gwas	1988	chr11	64603424	65363424	chr11:64603424-65363424
CPN1	gwas	1884	chr10	101490010	102290010	chr10:101490010-102290010
SULF1	tad	1557	chr8	70557446	71597446	chr8:70557446-71597446
XKR9	gwas	1557	chr8	70557446	71597446	chr8:70557446-71597446
TIPARP	tad	751	chr3	156277306	156877306	chr3:156277306-156877306
LEKR1	gwas	751	chr3	156277306	156877306	chr3:156277306-156877306
COLEC10	gwas	1606	chr8	119730819	120450819	chr8:119730819-120450819
RPS26P35	gwas	1606	chr8	119730819	120450819	chr8:119730819-120450819
TNFRSF11B	gwas_tad	1606	chr8	119730819	120450819	chr8:119730819-120450819
RNA5SP426	gwas	2518	chr16	50842499	52042499	chr16:50842499-52042499
SOD1P2	gwas	2518	chr16	50842499	52042499	chr16:50842499-52042499
HIGD1AP18	gwas	1564	chr8	77277445	79357445	chr8:77277445-79357445
RSPO3	gwas	1282	chr6	126318307	127518307	chr6:126318307-127518307
RPS4XP9	gwas	1282	chr6	126318307	127518307	chr6:126318307-127518307
MARK3	gwas	2380	chr14	103530247	104010247	chr14:103530247-104010247
GALNT3	gwas	500	chr2	165571754	166811754	chr2:165571754-166811754
CSRNP3	gwas	500	chr2	165571754	166811754	chr2:165571754-166811754
TNFRSF11A	gwas	2702	chr18	59849020	60649020	chr18:59849020-60649020
PDXDC1	gwas	2486	chr16	15012499	15172499	chr16:15012499-15172499
RNA5SP321	gwas	1862	chr10	78889994	79769994	chr10:78889994-79769994
MAPT	gwas	2604	chr17	43684217	44404237	chr17:43684217-44404237
CTNNB1	tad	628	chr3	40344996	42264996	chr3:40344996-42264996
ABCF2	gwas	1485	chr7	149489067	150929067	chr7:149489067-150929067
COL11A1	gwas_tad	164	chr1	102947412	103787412	chr1:102947412-103787412
AXIN1	gwas_tad	2468	chr16	60000	739999	chr16:60000-739999
WNT16	gwas	1457	chr7	120772764	121692764	chr7:120772764-121692764
CPED1	gwas	1457	chr7	120772764	121692764	chr7:120772764-121692764
FAM210A	gwas	2656	chr18	13010000	13810000	chr18:13010000-13810000
BET1L	gwas	1916	chr11	170000	850000	chr11:170000-850000
DEAF1	tad	1916	chr11	170000	850000	chr11:170000-850000
C7orf76	gwas	1430	chr7	95362064	96682064	chr7:95362064-96682064
DLX6	tad	1430	chr7	95362064	96682064	chr7:95362064-96682064
DLX5	tad	1430	chr7	95362064	96682064	chr7:95362064-96682064
HOXC9	tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
HOXC4	gwas_tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
HOXC11	tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
HOXC6	gwas_tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
HOXC10	tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
HOXC5	gwas_tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
HOXC8	tad	2134	chr12	54073733	54793733	chr12:54073733-54793733
EN1	gwas_tad	459	chr2	118763530	119643530	chr2:118763530-119643530
INSIG2	gwas_tad	459	chr2	118763530	119643530	chr2:118763530-119643530
SOX6	tad	1936	chr11	15283424	16803424	chr11:15283424-16803424
TNFSF11	gwas	2236	chr13	42862000	44462000	chr13:42862000-44462000
FABP3P2	gwas	2236	chr13	42862000	44462000	chr13:42862000-44462000
RPS6KA5	gwas	2367	chr14	91370247	91650247	chr14:91370247-91650247
SOX4	tad	1188	chr6	20092021	21932021	chr6:20092021-21932021
JAG1	gwas	2812	chr20	10412000	11572000	chr20:10412000-11572000
SMG6	gwas	2568	chr17	1133250	2253250	chr17:1133250-2253250
MIR4418	gwas	37	chr1	22327413	22767413	chr1:22327413-22767413
STARD3NL	gwas	1375	chr7	37913475	38393475	chr7:37913475-38393475
EPDR1	gwas	1375	chr7	37913475	38393475	chr7:37913475-38393475
NME8	gwas	1375	chr7	37913475	38393475	chr7:37913475-38393475
GRB10	gwas	1390	chr7	50512506	51232506	chr7:50512506-51232506
FGFRL1	tad	794	chr4	10000	1670202	chr4:10000-1670202
IDUA	gwas_tad	794	chr4	10000	1670202	chr4:10000-1670202
C2orf91	gwas	389	chr2	42066496	42586496	chr2:42066496-42586496
PKDCC	gwas_tad	389	chr2	42066496	42586496	chr2:42066496-42586496
ACP2	tad	1971	chr11	46643424	47443424	chr11:46643424-47443424
ZNF408	gwas	1971	chr11	46643424	47443424	chr11:46643424-47443424
ARHGAP1	gwas	1971	chr11	46643424	47443424	chr11:46643424-47443424
RARG	tad	2133	chr12	53433733	53873733	chr12:53433733-53873733
SP1	tad	2133	chr12	53433733	53873733	chr12:53433733-53873733
SP7	gwas	2133	chr12	53433733	53873733	chr12:53433733-53873733
DHH	gwas	2127	chr12	49473733	50033733	chr12:49473733-50033733
LRP5	gwas_tad	1995	chr11	67763424	68843424	chr11:67763424-68843424
KLHL42	gwas	2110	chr12	27868733	29188733	chr12:27868733-29188733
PTHLH	gwas_tad	2110	chr12	27868733	29188733	chr12:27868733-29188733
RUNX1	tad	2883	chr21	36038130	37518130	chr21:36038130-37518130
C17orf53	gwas	2602	chr17	41964474	43204474	chr17:41964474-43204474
