userId	geneSymbol	geneName	entrezgene	gLink
SNORA40	SNORA40	small nucleolar RNA, H/ACA box 40	677822	https://www.ncbi.nlm.nih.gov/gene/?term=677822
ENSA	ENSA	endosulfine alpha	2029	https://www.ncbi.nlm.nih.gov/gene/?term=2029
GOLPH3L	GOLPH3L	golgi phosphoprotein 3 like	55204	https://www.ncbi.nlm.nih.gov/gene/?term=55204
HORMAD1	HORMAD1	HORMA domain containing 1	84072	https://www.ncbi.nlm.nih.gov/gene/?term=84072
RNU6-1042P	RNU6-1042P	RNA, U6 small nuclear 1042, pseudogene	106480024	https://www.ncbi.nlm.nih.gov/gene/?term=106480024
CTSS	CTSS	cathepsin S	1520	https://www.ncbi.nlm.nih.gov/gene/?term=1520
CTSK	CTSK	cathepsin K	1513	https://www.ncbi.nlm.nih.gov/gene/?term=1513
UBE2D3P3	UBE2D3P3	ubiquitin conjugating enzyme E2 D3 pseudogene 3	100874262	https://www.ncbi.nlm.nih.gov/gene/?term=100874262
ARNT	ARNT	aryl hydrocarbon receptor nuclear translocator	405	https://www.ncbi.nlm.nih.gov/gene/?term=405
RNU6-1309P	RNU6-1309P	RNA, U6 small nuclear 1309, pseudogene	106480410	https://www.ncbi.nlm.nih.gov/gene/?term=106480410
SETDB1	SETDB1	SET domain bifurcated histone lysine methyltransferase 1	9869	https://www.ncbi.nlm.nih.gov/gene/?term=9869
CERS2	CERS2	ceramide synthase 2	29956	https://www.ncbi.nlm.nih.gov/gene/?term=29956
ANXA9	ANXA9	annexin A9	8416	https://www.ncbi.nlm.nih.gov/gene/?term=8416
RNU6-884P	RNU6-884P	RNA, U6 small nuclear 884, pseudogene	106479957	https://www.ncbi.nlm.nih.gov/gene/?term=106479957
BNIPL	BNIPL	BCL2 interacting protein like	149428	https://www.ncbi.nlm.nih.gov/gene/?term=149428
RN7SL431P	RN7SL431P	RNA, 7SL, cytoplasmic 431, pseudogene	106866913	https://www.ncbi.nlm.nih.gov/gene/?term=106866913
MIR190B	MIR190B	microRNA 190b	100126346	https://www.ncbi.nlm.nih.gov/gene/?term=100126346
C1orf189	C1orf189	chromosome 1 open reading frame 189	388701	https://www.ncbi.nlm.nih.gov/gene/?term=388701
C1orf43	C1orf43	chromosome 1 open reading frame 43	25912	https://www.ncbi.nlm.nih.gov/gene/?term=25912
UBAP2L	UBAP2L	ubiquitin associated protein 2 like	9898	https://www.ncbi.nlm.nih.gov/gene/?term=9898
SNORA58	SNORA58	small nucleolar RNA, H/ACA box 58	677836	https://www.ncbi.nlm.nih.gov/gene/?term=677836
HAX1	HAX1	HCLS1 associated protein X-1	10456	https://www.ncbi.nlm.nih.gov/gene/?term=10456
RNU6-239P	RNU6-239P	RNA, U6 small nuclear 239, pseudogene	106480563	https://www.ncbi.nlm.nih.gov/gene/?term=106480563
RNU6-121P	RNU6-121P	RNA, U6 small nuclear 121, pseudogene	106481215	https://www.ncbi.nlm.nih.gov/gene/?term=106481215
AQP10	AQP10	aquaporin 10	89872	https://www.ncbi.nlm.nih.gov/gene/?term=89872
ATP8B2	ATP8B2	ATPase phospholipid transporting 8B2	57198	https://www.ncbi.nlm.nih.gov/gene/?term=57198
RNU7-57P	RNU7-57P	RNA, U7 small nuclear 57 pseudogene	100151652	https://www.ncbi.nlm.nih.gov/gene/?term=100151652
IL6R	IL6R	interleukin 6 receptor	3570	https://www.ncbi.nlm.nih.gov/gene/?term=3570
SHE	SHE	Src homology 2 domain containing E	126669	https://www.ncbi.nlm.nih.gov/gene/?term=126669
TDRD10	TDRD10	tudor domain containing 10	126668	https://www.ncbi.nlm.nih.gov/gene/?term=126668
UBE2Q1	UBE2Q1	ubiquitin conjugating enzyme E2 Q1	55585	https://www.ncbi.nlm.nih.gov/gene/?term=55585
UBE2Q1-AS1	UBE2Q1-AS1	UBE2Q1 antisense RNA 1	100874097	https://www.ncbi.nlm.nih.gov/gene/?term=100874097
CHRNB2	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	1141	https://www.ncbi.nlm.nih.gov/gene/?term=1141
ADAR	ADAR	adenosine deaminase, RNA specific	103	https://www.ncbi.nlm.nih.gov/gene/?term=103
KCNN3	KCNN3	potassium calcium-activated channel subfamily N member 3	3782	https://www.ncbi.nlm.nih.gov/gene/?term=3782
PMVK	PMVK	phosphomevalonate kinase	10654	https://www.ncbi.nlm.nih.gov/gene/?term=10654
PBXIP1	PBXIP1	PBX homeobox interacting protein 1	57326	https://www.ncbi.nlm.nih.gov/gene/?term=57326
PYGO2	PYGO2	pygopus family PHD finger 2	90780	https://www.ncbi.nlm.nih.gov/gene/?term=90780
SHC1	SHC1	SHC adaptor protein 1	6464	https://www.ncbi.nlm.nih.gov/gene/?term=6464
CKS1B	CKS1B	CDC28 protein kinase regulatory subunit 1B	1163	https://www.ncbi.nlm.nih.gov/gene/?term=1163
MIR4258	MIR4258	microRNA 4258	100423020	https://www.ncbi.nlm.nih.gov/gene/?term=100423020
FLAD1	FLAD1	flavin adenine dinucleotide synthetase 1	80308	https://www.ncbi.nlm.nih.gov/gene/?term=80308
LENEP	LENEP	lens epithelial protein	55891	https://www.ncbi.nlm.nih.gov/gene/?term=55891
ZBTB7B	ZBTB7B	zinc finger and BTB domain containing 7B	51043	https://www.ncbi.nlm.nih.gov/gene/?term=51043
DCST2	DCST2	DC-STAMP domain containing 2	127579	https://www.ncbi.nlm.nih.gov/gene/?term=127579
DCST1	DCST1	DC-STAMP domain containing 1	149095	https://www.ncbi.nlm.nih.gov/gene/?term=149095
ADAM15	ADAM15	ADAM metallopeptidase domain 15	8751	https://www.ncbi.nlm.nih.gov/gene/?term=8751
EFNA4	EFNA4	ephrin A4	1945	https://www.ncbi.nlm.nih.gov/gene/?term=1945
EFNA3	EFNA3	ephrin A3	1944	https://www.ncbi.nlm.nih.gov/gene/?term=1944
EFNA1	EFNA1	ephrin A1	1942	https://www.ncbi.nlm.nih.gov/gene/?term=1942
SLC50A1	SLC50A1	solute carrier family 50 member 1	55974	https://www.ncbi.nlm.nih.gov/gene/?term=55974
DPM3	DPM3	dolichyl-phosphate mannosyltransferase subunit 3	54344	https://www.ncbi.nlm.nih.gov/gene/?term=54344
HMGN2P18	HMGN2P18	high mobility group nucleosomal binding domain 2 pseudogene 18	648822	https://www.ncbi.nlm.nih.gov/gene/?term=648822
KRTCAP2	KRTCAP2	keratinocyte associated protein 2	200185	https://www.ncbi.nlm.nih.gov/gene/?term=200185
TRIM46	TRIM46	tripartite motif containing 46	80128	https://www.ncbi.nlm.nih.gov/gene/?term=80128
MUC1	MUC1	mucin 1, cell surface associated	4582	https://www.ncbi.nlm.nih.gov/gene/?term=4582
MIR92B	MIR92B	microRNA 92b	693235	https://www.ncbi.nlm.nih.gov/gene/?term=693235
TPM3	TPM3	tropomyosin 3	7170	https://www.ncbi.nlm.nih.gov/gene/?term=7170
THBS3	THBS3	thrombospondin 3	7059	https://www.ncbi.nlm.nih.gov/gene/?term=7059
MDM4	MDM4	MDM4, p53 regulator	4194	https://www.ncbi.nlm.nih.gov/gene/?term=4194
RNA5SP74	RNA5SP74	RNA, 5S ribosomal pseudogene 74	100873308	https://www.ncbi.nlm.nih.gov/gene/?term=100873308
LRRN2	LRRN2	leucine rich repeat neuronal 2	10446	https://www.ncbi.nlm.nih.gov/gene/?term=10446
RNA5SP75	RNA5SP75	RNA, 5S ribosomal pseudogene 75	100873309	https://www.ncbi.nlm.nih.gov/gene/?term=100873309
SCARNA20	SCARNA20	small Cajal body-specific RNA 20	677681	https://www.ncbi.nlm.nih.gov/gene/?term=677681
NFASC	NFASC	neurofascin	23114	https://www.ncbi.nlm.nih.gov/gene/?term=23114
SNORD112	SNORD112	small nucleolar RNA, C/D box 112	692215	https://www.ncbi.nlm.nih.gov/gene/?term=692215
CNTN2	CNTN2	contactin 2	6900	https://www.ncbi.nlm.nih.gov/gene/?term=6900
TMEM81	TMEM81	transmembrane protein 81	388730	https://www.ncbi.nlm.nih.gov/gene/?term=388730
RBBP5	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit	5929	https://www.ncbi.nlm.nih.gov/gene/?term=5929
DSTYK	DSTYK	dual serine/threonine and tyrosine protein kinase	25778	https://www.ncbi.nlm.nih.gov/gene/?term=25778
TMCC2	TMCC2	transmembrane and coiled-coil domain family 2	9911	https://www.ncbi.nlm.nih.gov/gene/?term=9911
NUAK2	NUAK2	NUAK family kinase 2	81788	https://www.ncbi.nlm.nih.gov/gene/?term=81788
KLHDC8A	KLHDC8A	kelch domain containing 8A	55220	https://www.ncbi.nlm.nih.gov/gene/?term=55220
SNRPGP10	SNRPGP10	small nuclear ribonucleoprotein polypeptide G pseudogene 10	100130289	https://www.ncbi.nlm.nih.gov/gene/?term=100130289
LEMD1-AS1	LEMD1-AS1	LEMD1 antisense RNA 1	284576	https://www.ncbi.nlm.nih.gov/gene/?term=284576
LEMD1	LEMD1	LEM domain containing 1	93273	https://www.ncbi.nlm.nih.gov/gene/?term=93273
MIR135B	MIR135B	microRNA 135b	442891	https://www.ncbi.nlm.nih.gov/gene/?term=442891
CDK18	CDK18	cyclin dependent kinase 18	5129	https://www.ncbi.nlm.nih.gov/gene/?term=5129
RNU2-19P	RNU2-19P	RNA, U2 small nuclear 19, pseudogene	106481959	https://www.ncbi.nlm.nih.gov/gene/?term=106481959
RNU6-418P	RNU6-418P	RNA, U6 small nuclear 418, pseudogene	106481310	https://www.ncbi.nlm.nih.gov/gene/?term=106481310
ELK4	ELK4	ELK4, ETS transcription factor	2005	https://www.ncbi.nlm.nih.gov/gene/?term=2005
SLC45A3	SLC45A3	solute carrier family 45 member 3	85414	https://www.ncbi.nlm.nih.gov/gene/?term=85414
NUCKS1	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1	64710	https://www.ncbi.nlm.nih.gov/gene/?term=64710
SNORA72	SNORA72	small nucleolar RNA, H/ACA box 72	26775	https://www.ncbi.nlm.nih.gov/gene/?term=26775
PIK3C2B	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	5287	https://www.ncbi.nlm.nih.gov/gene/?term=5287
C10orf25	C10orf25	chromosome 10 open reading frame 25	220979	https://www.ncbi.nlm.nih.gov/gene/?term=220979
ZNF22	ZNF22	zinc finger protein 22	7570	https://www.ncbi.nlm.nih.gov/gene/?term=7570
CEP164P1	CEP164P1	centrosomal protein 164 pseudogene 1	100289237	https://www.ncbi.nlm.nih.gov/gene/?term=100289237
DUXAP4	DUXAP4	double homeobox A pseudogene 4	503633	https://www.ncbi.nlm.nih.gov/gene/?term=503633
RSU1P2	RSU1P2	Ras suppressor protein 1 pseudogene 2	100133308	https://www.ncbi.nlm.nih.gov/gene/?term=100133308
CUBNP3	CUBNP3	cubilin pseudogene 3	100421634	https://www.ncbi.nlm.nih.gov/gene/?term=100421634
ANKRD54P1	ANKRD54P1	ankyrin repeat domain 54 pseudogene 1	100419962	https://www.ncbi.nlm.nih.gov/gene/?term=100419962
ANKRD30BP3	ANKRD30BP3	ankyrin repeat domain 30B pseudogene 3	338579	https://www.ncbi.nlm.nih.gov/gene/?term=338579
MIR3156-1	MIR3156-1	microRNA 3156-1	100422988	https://www.ncbi.nlm.nih.gov/gene/?term=100422988
RNU6-1207P	RNU6-1207P	RNA, U6 small nuclear 1207, pseudogene	106480648	https://www.ncbi.nlm.nih.gov/gene/?term=106480648
CUBNP2	CUBNP2	cubilin pseudogene 2	100289280	https://www.ncbi.nlm.nih.gov/gene/?term=100289280
OR6D1P	OR6D1P	olfactory receptor family 6 subfamily D member 1 pseudogene	220974	https://www.ncbi.nlm.nih.gov/gene/?term=220974
OR13A1	OR13A1	olfactory receptor family 13 subfamily A member 1	79290	https://www.ncbi.nlm.nih.gov/gene/?term=79290
ALOX5	ALOX5	arachidonate 5-lipoxygenase	240	https://www.ncbi.nlm.nih.gov/gene/?term=240
MARCH8	MARCH8	membrane associated ring-CH-type finger 8	220972	https://www.ncbi.nlm.nih.gov/gene/?term=220972
ZFAND4	ZFAND4	zinc finger AN1-type containing 4	93550	https://www.ncbi.nlm.nih.gov/gene/?term=93550
FAM21FP	FAM21FP	family with sequence similarity 21 member F, pseudogene	100288690	https://www.ncbi.nlm.nih.gov/gene/?term=100288690
RASSF4	RASSF4	Ras association domain family member 4	83937	https://www.ncbi.nlm.nih.gov/gene/?term=83937
MSMB	MSMB	microseminoprotein beta	4477	https://www.ncbi.nlm.nih.gov/gene/?term=4477
NCOA4	NCOA4	nuclear receptor coactivator 4	8031	https://www.ncbi.nlm.nih.gov/gene/?term=8031
TIMM23	TIMM23	translocase of inner mitochondrial membrane 23	100287932	https://www.ncbi.nlm.nih.gov/gene/?term=100287932
PARGP1	PARGP1	poly(ADP-ribose) glycohydrolase pseudogene 1	728407	https://www.ncbi.nlm.nih.gov/gene/?term=728407
LINC00843	LINC00843	long intergenic non-protein coding RNA 843	102902672	https://www.ncbi.nlm.nih.gov/gene/?term=102902672
RNA5SP317	RNA5SP317	RNA, 5S ribosomal pseudogene 317	106479006	https://www.ncbi.nlm.nih.gov/gene/?term=106479006
AGAP6	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	414189	https://www.ncbi.nlm.nih.gov/gene/?term=414189
SLC9A3P3	SLC9A3P3	solute carrier family 9 member 3 pseudogene 3	728990	https://www.ncbi.nlm.nih.gov/gene/?term=728990
ARL3	ARL3	ADP ribosylation factor like GTPase 3	403	https://www.ncbi.nlm.nih.gov/gene/?term=403
SFXN2	SFXN2	sideroflexin 2	118980	https://www.ncbi.nlm.nih.gov/gene/?term=118980
WBP1L	WBP1L	WW domain binding protein 1 like	54838	https://www.ncbi.nlm.nih.gov/gene/?term=54838
RNU6-1231P	RNU6-1231P	RNA, U6 small nuclear 1231, pseudogene	106480104	https://www.ncbi.nlm.nih.gov/gene/?term=106480104
CYP17A1	CYP17A1	cytochrome P450 family 17 subfamily A member 1	1586	https://www.ncbi.nlm.nih.gov/gene/?term=1586
CYP17A1-AS1	CYP17A1-AS1	CYP17A1 antisense RNA 1	102724307	https://www.ncbi.nlm.nih.gov/gene/?term=102724307
PFN1P11	PFN1P11	profilin 1 pseudogene 11	100873784	https://www.ncbi.nlm.nih.gov/gene/?term=100873784
PTGES3P4	PTGES3P4	prostaglandin E synthase 3 pseudogene 4	106480775	https://www.ncbi.nlm.nih.gov/gene/?term=106480775
AS3MT	AS3MT	arsenite methyltransferase	57412	https://www.ncbi.nlm.nih.gov/gene/?term=57412
CNNM2	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	54805	https://www.ncbi.nlm.nih.gov/gene/?term=54805
NT5C2	NT5C2	5'-nucleotidase, cytosolic II	22978	https://www.ncbi.nlm.nih.gov/gene/?term=22978
MARCKSL1P1	MARCKSL1P1	MARCKS like 1 pseudogene 1	100913183	https://www.ncbi.nlm.nih.gov/gene/?term=100913183
ST13P13	ST13P13	ST13, Hsp70 interacting protein pseudogene 13	401648	https://www.ncbi.nlm.nih.gov/gene/?term=401648
INA	INA	internexin neuronal intermediate filament protein alpha	9118	https://www.ncbi.nlm.nih.gov/gene/?term=9118
PCGF6	PCGF6	polycomb group ring finger 6	84108	https://www.ncbi.nlm.nih.gov/gene/?term=84108
RNU11-3P	RNU11-3P	RNA, U11 small nuclear 3, pseudogene	106479562	https://www.ncbi.nlm.nih.gov/gene/?term=106479562
TAF5	TAF5	TATA-box binding protein associated factor 5	6877	https://www.ncbi.nlm.nih.gov/gene/?term=6877
MIR1307	MIR1307	microRNA 1307	100302174	https://www.ncbi.nlm.nih.gov/gene/?term=100302174
PDCD11	PDCD11	programmed cell death 11	22984	https://www.ncbi.nlm.nih.gov/gene/?term=22984
CALHM2	CALHM2	calcium homeostasis modulator family member 2	51063	https://www.ncbi.nlm.nih.gov/gene/?term=51063
CALHM1	CALHM1	calcium homeostasis modulator 1	255022	https://www.ncbi.nlm.nih.gov/gene/?term=255022
CALHM3	CALHM3	calcium homeostasis modulator 3	119395	https://www.ncbi.nlm.nih.gov/gene/?term=119395
TRIM8	TRIM8	tripartite motif containing 8	81603	https://www.ncbi.nlm.nih.gov/gene/?term=81603
CTBP2	CTBP2	C-terminal binding protein 2	1488	https://www.ncbi.nlm.nih.gov/gene/?term=1488
MIR4296	MIR4296	microRNA 4296	100423041	https://www.ncbi.nlm.nih.gov/gene/?term=100423041
MRPS21P6	MRPS21P6	mitochondrial ribosomal protein S21 pseudogene 6	359770	https://www.ncbi.nlm.nih.gov/gene/?term=359770
RPS27P18	RPS27P18	ribosomal protein S27 pseudogene 18	100271380	https://www.ncbi.nlm.nih.gov/gene/?term=100271380
TEX36	TEX36	testis expressed 36	387718	https://www.ncbi.nlm.nih.gov/gene/?term=387718
ALDOAP2	ALDOAP2	aldolase, fructose-bisphosphate A pseudogene 2	228	https://www.ncbi.nlm.nih.gov/gene/?term=228
MMP21	MMP21	matrix metallopeptidase 21	118856	https://www.ncbi.nlm.nih.gov/gene/?term=118856
UROS	UROS	uroporphyrinogen III synthase	7390	https://www.ncbi.nlm.nih.gov/gene/?term=7390
MIR4484	MIR4484	microRNA 4484	100616327	https://www.ncbi.nlm.nih.gov/gene/?term=100616327
ZRANB1	ZRANB1	zinc finger RANBP2-type containing 1	54764	https://www.ncbi.nlm.nih.gov/gene/?term=54764
BCCIP	BCCIP	BRCA2 and CDKN1A interacting protein	56647	https://www.ncbi.nlm.nih.gov/gene/?term=56647
DHX32	DHX32	DEAH-box helicase 32 (putative)	55760	https://www.ncbi.nlm.nih.gov/gene/?term=55760
MIR3164	MIR3164	microRNA 3164	100422846	https://www.ncbi.nlm.nih.gov/gene/?term=100422846
MYEOV	MYEOV	myeloma overexpressed	26579	https://www.ncbi.nlm.nih.gov/gene/?term=26579
IFITM9P	IFITM9P	interferon induced transmembrane protein 9 pseudogene	390218	https://www.ncbi.nlm.nih.gov/gene/?term=390218
CCND1	CCND1	cyclin D1	595	https://www.ncbi.nlm.nih.gov/gene/?term=595
TPCN2	TPCN2	two pore segment channel 2	219931	https://www.ncbi.nlm.nih.gov/gene/?term=219931
YAP1	YAP1	Yes associated protein 1	10413	https://www.ncbi.nlm.nih.gov/gene/?term=10413
RNU6-952P	RNU6-952P	RNA, U6 small nuclear 952, pseudogene	106479987	https://www.ncbi.nlm.nih.gov/gene/?term=106479987
BIRC3	BIRC3	baculoviral IAP repeat containing 3	330	https://www.ncbi.nlm.nih.gov/gene/?term=330
BIRC2	BIRC2	baculoviral IAP repeat containing 2	329	https://www.ncbi.nlm.nih.gov/gene/?term=329
TMEM123	TMEM123	transmembrane protein 123	114908	https://www.ncbi.nlm.nih.gov/gene/?term=114908
MMP7	MMP7	matrix metallopeptidase 7	4316	https://www.ncbi.nlm.nih.gov/gene/?term=4316
MMP20	MMP20	matrix metallopeptidase 20	9313	https://www.ncbi.nlm.nih.gov/gene/?term=9313
MMP27	MMP27	matrix metallopeptidase 27	64066	https://www.ncbi.nlm.nih.gov/gene/?term=64066
ATF4P4	ATF4P4	activating transcription factor 4 pseudogene 4	100127952	https://www.ncbi.nlm.nih.gov/gene/?term=100127952
LRRC37A13P	LRRC37A13P	leucine rich repeat containing 37 member A13, pseudogene	106479024	https://www.ncbi.nlm.nih.gov/gene/?term=106479024
USP28	USP28	ubiquitin specific peptidase 28	57646	https://www.ncbi.nlm.nih.gov/gene/?term=57646
RNU6-1107P	RNU6-1107P	RNA, U6 small nuclear 1107, pseudogene	106481529	https://www.ncbi.nlm.nih.gov/gene/?term=106481529
HTR3B	HTR3B	5-hydroxytryptamine receptor 3B	9177	https://www.ncbi.nlm.nih.gov/gene/?term=9177
HTR3A	HTR3A	5-hydroxytryptamine receptor 3A	3359	https://www.ncbi.nlm.nih.gov/gene/?term=3359
ZBTB16	ZBTB16	zinc finger and BTB domain containing 16	7704	https://www.ncbi.nlm.nih.gov/gene/?term=7704
NNMT	NNMT	nicotinamide N-methyltransferase	4837	https://www.ncbi.nlm.nih.gov/gene/?term=4837
VDR	VDR	vitamin D receptor	7421	https://www.ncbi.nlm.nih.gov/gene/?term=7421
TMEM106C	TMEM106C	transmembrane protein 106C	79022	https://www.ncbi.nlm.nih.gov/gene/?term=79022
COL2A1	COL2A1	collagen type II alpha 1 chain	1280	https://www.ncbi.nlm.nih.gov/gene/?term=1280
SENP1	SENP1	SUMO specific peptidase 1	29843	https://www.ncbi.nlm.nih.gov/gene/?term=29843
RNU6-1203P	RNU6-1203P	RNA, U6 small nuclear 1203, pseudogene	106480092	https://www.ncbi.nlm.nih.gov/gene/?term=106480092
PFKM	PFKM	phosphofructokinase, muscle	5213	https://www.ncbi.nlm.nih.gov/gene/?term=5213
ASB8	ASB8	ankyrin repeat and SOCS box containing 8	140461	https://www.ncbi.nlm.nih.gov/gene/?term=140461
OR10AD1	OR10AD1	olfactory receptor family 10 subfamily AD member 1	121275	https://www.ncbi.nlm.nih.gov/gene/?term=121275
H1FNT	H1FNT	H1 histone family member N, testis specific	341567	https://www.ncbi.nlm.nih.gov/gene/?term=341567
ZNF641	ZNF641	zinc finger protein 641	121274	https://www.ncbi.nlm.nih.gov/gene/?term=121274
OR5BK1P	OR5BK1P	olfactory receptor family 5 subfamily BK member 1 pseudogene	401718	https://www.ncbi.nlm.nih.gov/gene/?term=401718
OR5BT1P	OR5BT1P	olfactory receptor family 5 subfamily BT member 1 pseudogene	282790	https://www.ncbi.nlm.nih.gov/gene/?term=282790
OR5BJ1P	OR5BJ1P	olfactory receptor family 5 subfamily BJ member 1 pseudogene	81047	https://www.ncbi.nlm.nih.gov/gene/?term=81047
OR8S21P	OR8S21P	olfactory receptor family 8 subfamily S member 21 pseudogene	403304	https://www.ncbi.nlm.nih.gov/gene/?term=403304
OR8T1P	OR8T1P	olfactory receptor family 8 subfamily T member 1 pseudogene	282791	https://www.ncbi.nlm.nih.gov/gene/?term=282791
ANP32D	ANP32D	acidic nuclear phosphoprotein 32 family member D	23519	https://www.ncbi.nlm.nih.gov/gene/?term=23519
C12orf54	C12orf54	chromosome 12 open reading frame 54	121273	https://www.ncbi.nlm.nih.gov/gene/?term=121273
RPS10P20	RPS10P20	ribosomal protein S10 pseudogene 20	100271547	https://www.ncbi.nlm.nih.gov/gene/?term=100271547
OR8S1	OR8S1	olfactory receptor family 8 subfamily S member 1	341568	https://www.ncbi.nlm.nih.gov/gene/?term=341568
OR5BS1P	OR5BS1P	olfactory receptor family 5 subfamily BS member 1 pseudogene	390313	https://www.ncbi.nlm.nih.gov/gene/?term=390313
LALBA	LALBA	lactalbumin alpha	3906	https://www.ncbi.nlm.nih.gov/gene/?term=3906
OR11M1P	OR11M1P	olfactory receptor family 11 subfamily M member 1 pseudogene	121270	https://www.ncbi.nlm.nih.gov/gene/?term=121270
KANSL2	KANSL2	KAT8 regulatory NSL complex subunit 2	54934	https://www.ncbi.nlm.nih.gov/gene/?term=54934
SNORA2A	SNORA2A	small nucleolar RNA, H/ACA box 2A	677793	https://www.ncbi.nlm.nih.gov/gene/?term=677793
SNORA2B	SNORA2B	small nucleolar RNA, H/ACA box 2B	677794	https://www.ncbi.nlm.nih.gov/gene/?term=677794
CCNT1	CCNT1	cyclin T1	904	https://www.ncbi.nlm.nih.gov/gene/?term=904
ADCY6	ADCY6	adenylate cyclase 6	112	https://www.ncbi.nlm.nih.gov/gene/?term=112
MIR4701	MIR4701	microRNA 4701	100616262	https://www.ncbi.nlm.nih.gov/gene/?term=100616262
CACNB3	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3	784	https://www.ncbi.nlm.nih.gov/gene/?term=784
DDX23	DDX23	DEAD-box helicase 23	9416	https://www.ncbi.nlm.nih.gov/gene/?term=9416
DHH	DHH	desert hedgehog signaling molecule	50846	https://www.ncbi.nlm.nih.gov/gene/?term=50846
LMBR1L	LMBR1L	limb development membrane protein 1 like	55716	https://www.ncbi.nlm.nih.gov/gene/?term=55716
TUBA1B	TUBA1B	tubulin alpha 1b	10376	https://www.ncbi.nlm.nih.gov/gene/?term=10376
TUBA1A	TUBA1A	tubulin alpha 1a	7846	https://www.ncbi.nlm.nih.gov/gene/?term=7846
TUBA1C	TUBA1C	tubulin alpha 1c	84790	https://www.ncbi.nlm.nih.gov/gene/?term=84790
PRPH	PRPH	peripherin	5630	https://www.ncbi.nlm.nih.gov/gene/?term=5630
TROAP	TROAP	trophinin associated protein	10024	https://www.ncbi.nlm.nih.gov/gene/?term=10024
C1QL4	C1QL4	complement C1q like 4	338761	https://www.ncbi.nlm.nih.gov/gene/?term=338761
DNAJC22	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	79962	https://www.ncbi.nlm.nih.gov/gene/?term=79962
SPATS2	SPATS2	spermatogenesis associated serine rich 2	65244	https://www.ncbi.nlm.nih.gov/gene/?term=65244
